,,smoo,smoo,smoo,smoo,smoo,smoo,smoo,smoo,smoo,smoo,smoo,smoo,smoo,smoo,smoo,smoo,smoo,smoo,smoo,smoo
Unnamed: 1_level_2,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,,,,,,,,,,,,,,,,,,,,
voxel,80,76.0,76.0,76.0,76.0,76.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,76.0,76.0,76.0,76.0,76.0,76.0,74.0,74.0
voxel,81,76.0,76.0,76.0,76.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,74.0
voxel,82,76.0,76.0,76.0,76.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
voxel,83,76.0,76.0,76.0,76.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
voxel,84,76.0,76.0,76.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
voxel,85,76.0,76.0,76.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
voxel,86,76.0,76.0,76.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
voxel,87,76.0,76.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
voxel,88,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,80.0,80.0,80.0,78.0,78.0,78.0,76.0,76.0,76.0,76.0,76.0,76.0
voxel,89,80.0,80.0,78.0,78.0,78.0,78.0,80.0,80.0,80.0,80.0,80.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0
voxel,90,80.0,80.0,78.0,78.0,78.0,80.0,80.0,80.0,80.0,80.0,80.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0
voxel,91,80.0,80.0,78.0,78.0,78.0,80.0,80.0,80.0,80.0,80.0,80.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0
voxel,92,80.0,80.0,78.0,78.0,82.0,82.0,82.0,80.0,80.0,80.0,80.0,78.0,78.0,78.0,78.0,78.0,80.0,80.0,80.0,80.0
voxel,93,82.0,82.0,80.0,84.0,84.0,84.0,84.0,84.0,86.0,84.0,82.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
voxel,94,80.0,80.0,82.0,84.0,86.0,86.0,86.0,86.0,86.0,86.0,84.0,84.0,82.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
voxel,95,84.0,84.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,84.0,84.0,84.0,84.0,84.0,82.0,80.0,80.0,80.0,78.0
voxel,96,84.0,84.0,84.0,88.0,88.0,86.0,86.0,86.0,86.0,86.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,82.0,80.0,80.0
voxel,97,88.0,88.0,90.0,90.0,92.0,92.0,92.0,90.0,88.0,88.0,84.0,84.0,84.0,84.0,84.0,82.0,82.0,82.0,80.0,80.0
voxel,98,92.0,92.0,90.0,92.0,92.0,92.0,92.0,92.0,88.0,88.0,86.0,86.0,84.0,82.0,82.0,82.0,80.0,80.0,80.0,80.0
voxel,99,92.0,92.0,92.0,92.0,90.0,90.0,90.0,90.0,90.0,88.0,88.0,88.0,84.0,84.0,82.0,82.0,82.0,82.0,80.0,80.0
